,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
0,Lagoa,PT,2020-04-19 18:53:32,39.05,-27.98,57.97,66,14,28.3,few clouds,0.0,0.0
1,Kapaa,US,2020-04-19 18:52:34,22.08,-159.32,78.01,83,75,5.82,broken clouds,0.0,0.0
2,Cayenne,GF,2020-04-19 18:56:15,4.93,-52.33,84.2,79,97,11.41,moderate rain,4.38,0.0
3,Vestmannaeyjar,IS,2020-04-19 18:53:16,63.44,-20.27,44.6,100,90,26.4,moderate rain,0.0,0.0
4,Richards Bay,ZA,2020-04-19 19:00:44,-28.78,32.04,71.04,80,0,12.21,clear sky,0.0,0.0
5,Pahrump,US,2020-04-19 18:56:37,36.21,-115.98,63.99,34,27,7.74,scattered clouds,0.0,0.0
6,Severo-Kurilsk,RU,2020-04-19 18:54:58,50.68,156.12,26.42,90,9,14.27,clear sky,0.0,0.0
7,Chuy,UY,2020-04-19 18:51:04,-33.7,-53.46,72.5,63,0,8.7,clear sky,0.0,0.0
8,Qaanaaq,GL,2020-04-19 18:53:07,77.48,-69.36,17.53,89,68,8.03,broken clouds,0.0,0.0
9,Mount Gambier,AU,2020-04-19 18:54:48,-37.83,140.77,60.8,77,90,16.11,light intensity shower rain,0.0,0.0
10,Rikitea,PF,2020-04-19 18:52:04,-23.12,-134.97,76.75,70,59,7.87,broken clouds,0.0,0.0
11,Lebu,CL,2020-04-19 18:54:28,-37.62,-73.65,61.47,60,100,8.14,overcast clouds,0.0,0.0
12,Kirakira,SB,2020-04-19 18:55:50,-10.45,161.92,79.2,81,99,2.44,overcast clouds,0.0,0.0
13,Saint-Philippe,RE,2020-04-19 18:54:03,-21.36,55.77,73.4,78,14,10.29,light rain,0.24,0.0
14,Provideniya,RU,2020-04-19 18:52:29,64.38,-173.3,18.32,94,98,15.28,light snow,0.0,0.43
15,Victoria,HK,2020-04-19 18:54:12,22.29,114.16,77.0,83,45,3.0,scattered clouds,0.0,0.0
16,Hasaki,JP,2020-04-19 18:56:24,35.73,140.83,48.2,87,75,14.99,broken clouds,0.0,0.0
17,Kaeo,NZ,2020-04-19 19:00:54,-35.1,173.78,57.99,94,100,1.01,light rain,0.62,0.0
18,Port Alfred,ZA,2020-04-19 18:52:23,-33.59,26.89,77.63,57,20,14.81,few clouds,0.0,0.0
19,Tuatapere,NZ,2020-04-19 19:00:56,-46.13,167.68,44.01,80,88,7.0,light rain,0.26,0.0
20,Gizo,SB,2020-04-19 18:56:02,-8.1,156.84,81.09,76,97,1.97,light rain,2.61,0.0
21,Esperance,AU,2020-04-19 18:52:46,-33.87,121.9,51.8,93,6,6.93,clear sky,0.0,0.0
22,Najran,SA,2020-04-19 19:00:59,17.49,44.13,75.2,57,40,6.93,scattered clouds,0.0,0.0
23,Khatanga,RU,2020-04-19 18:54:22,71.97,102.5,17.4,94,38,4.81,scattered clouds,0.0,0.0
24,Snyder,US,2020-04-19 19:01:01,32.72,-100.92,81.0,13,1,20.8,clear sky,0.0,0.0
25,Malanje,AO,2020-04-19 19:01:02,-9.54,16.34,66.6,69,32,3.33,moderate rain,3.65,0.0
26,Ushuaia,AR,2020-04-19 18:48:57,-54.8,-68.3,44.6,75,40,19.46,scattered clouds,0.0,0.0
27,San Cristobal,VE,2020-04-19 19:01:04,7.77,-72.22,93.2,38,40,5.82,smoke,0.0,0.0
28,New Norfolk,AU,2020-04-19 18:52:54,-42.78,147.06,48.0,84,100,4.12,overcast clouds,0.0,0.0
29,Tasiilaq,GL,2020-04-19 18:52:58,65.61,-37.64,33.8,69,99,16.11,light snow,0.0,0.43
30,Albany,US,2020-04-19 18:50:30,42.6,-73.97,64.99,23,1,3.0,clear sky,0.0,0.0
31,Faya,SA,2020-04-19 18:57:58,18.39,42.45,66.2,82,98,4.52,light rain,0.43,0.0
