,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Lagoa,PT,57.97,few clouds,39.05,-27.98,Casa Das Faias
1,Kapaa,US,78.01,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
4,Richards Bay,ZA,71.04,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
5,Pahrump,US,63.99,scattered clouds,36.21,-115.98,Best Western Pahrump Oasis
7,Chuy,UY,72.5,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
9,Mount Gambier,AU,60.8,light intensity shower rain,-37.83,140.77,Best Western Southgate Motel
10,Rikitea,PF,76.75,broken clouds,-23.12,-134.97,Pension Maro'i
11,Lebu,CL,61.47,overcast clouds,-37.62,-73.65,Hostal Las Lilas
12,Kirakira,SB,79.2,overcast clouds,-10.45,161.92,SanBiz Lodge
15,Victoria,HK,77.0,scattered clouds,22.29,114.16,Mini Hotel Central
18,Port Alfred,ZA,77.63,few clouds,-33.59,26.89,The Halyards Hotel
21,Esperance,AU,51.8,clear sky,-33.87,121.9,Hospitality Esperance
22,Najran,SA,75.2,scattered clouds,17.49,44.13,محمد هادي ال فطيح
24,Snyder,US,81.0,clear sky,32.72,-100.92,Holiday Inn Express & Suites Snyder
30,Albany,US,64.99,clear sky,42.6,-73.97,
32,Akyab,MM,79.81,clear sky,20.15,92.9,Hotel Memory
33,Cao Bang,VN,73.63,few clouds,22.67,106.25,khách sạn 88
35,Haringhata,IN,82.4,haze,22.95,88.57,Visitor's Hostel
38,Careiro Da Varzea,BR,86.0,broken clouds,-3.2,-59.81,POUSADA DA ALDENORA
40,Labuhan,ID,80.08,broken clouds,-6.88,112.21,bador sepret
41,Bredasdorp,ZA,61.0,clear sky,-34.53,20.04,Bredasdorp Country Manor
42,Sola,VU,75.2,few clouds,-13.88,167.55,Leumerus Bungalows
43,Hermanus,ZA,62.01,broken clouds,-34.42,19.23,Misty Waves Boutique Hotel
45,Katsuura,JP,51.01,overcast clouds,35.13,140.3,Katsuura Hotel Mikazuki
47,Saldanha,ZA,60.8,clear sky,-33.01,17.94,Blue Bay Lodge
50,Buchanan,LR,84.2,scattered clouds,5.88,-10.05,Kamaneahn Hotel Inc
52,Mount Isa,AU,60.8,scattered clouds,-20.73,139.5,ibis Styles Mt Isa Verona
57,Cape Town,ZA,63.0,broken clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
58,Kasempa,ZM,64.67,clear sky,-13.46,25.83,Miracle Guest House
59,Hilo,US,75.2,clear sky,19.73,-155.09,Hilo Hawaiian Hotel
60,Puerto Ayora,EC,86.0,shower rain,-0.74,-90.35,Finch Bay Galapagos Hotel
61,Talcahuano,CL,68.0,overcast clouds,-36.72,-73.12,Hotel Terramar
62,Saint-Orens-De-Gameville,FR,60.8,broken clouds,43.55,1.53,Appart'City Confort Toulouse Diagora Labège - Appart Hôtel
65,Durban,ZA,69.8,clear sky,-29.86,31.03,Hilton Durban
69,Hobart,AU,51.8,overcast clouds,-42.88,147.33,St Ives Apartments
70,La Palma,US,66.2,broken clouds,33.85,-118.05,La Quinta Inn & Suites by Wyndham Buena Park
72,Half Moon Bay,US,63.0,overcast clouds,37.46,-122.43,"The Ritz-Carlton, Half Moon Bay"
73,San Juan,AR,84.13,clear sky,-31.54,-68.54,Hotel Provincial
74,Kavaratti,IN,85.98,clear sky,10.57,72.64,Bismillah Hotel And Lodging
75,Hamilton,US,55.99,overcast clouds,39.18,-84.53,Six Acres Bed & Breakfast
76,Lamar,US,62.01,thunderstorm,33.67,-95.58,Kings Inn Paris TX
77,Henties Bay,,57.99,clear sky,-22.12,14.28,Fishermans Guest House
79,Walvis Bay,,62.6,clear sky,-22.96,14.51,Oyster Box Guesthouse
83,Besikduzu,TR,55.4,few clouds,41.05,39.23,YKT
84,Bagotville,AU,63.0,clear sky,-28.98,153.42,Broadwater Sunrise Caravan Park
87,Launceston,AU,52.0,shower rain,-41.45,147.17,Hotel Grand Chancellor Launceston
91,Rawson,AR,65.41,overcast clouds,-43.3,-65.1,Hotel Punta León
92,Sao Filipe,CV,72.03,few clouds,14.9,-24.5,Tortuga B&B
94,Liverpool,GB,57.99,clear sky,53.41,-2.98,"Radisson Blu Hotel, Liverpool"
95,Rio Do Sul,BR,78.01,broken clouds,-27.21,-49.64,Hotel | Restaurante Aliança Express
96,Atherton,GB,55.99,few clouds,53.52,-2.49,The Mercury Bolton Hotel
