City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
Cherskiy,RU,2020-04-19 20:58:16,68.75,161.3,4.64,93,100,6.87,light snow,0.0,0.13
Punta Arenas,CL,2020-04-19 20:53:57,-53.15,-70.92,44.6,65,40,31.09,scattered clouds,0.0,0.0
Katsuura,JP,2020-04-19 20:58:17,35.13,140.3,57.52,76,100,10.04,light rain,0.19,0.0
Mabaruma,GY,2020-04-19 20:58:17,8.2,-59.78,81.54,75,33,8.97,light rain,1.06,0.0
Richards Bay,ZA,2020-04-19 20:58:18,-28.78,32.04,69.13,77,0,9.6,clear sky,0.0,0.0
Ushuaia,AR,2020-04-19 20:56:06,-54.8,-68.3,42.8,81,75,27.51,heavy intensity drizzle,0.0,0.0
Vaini,TO,2020-04-19 20:58:19,-21.2,-175.2,80.6,78,20,8.05,few clouds,0.0,0.0
Hilo,US,2020-04-19 20:58:12,19.73,-155.09,78.8,57,1,11.41,clear sky,0.0,0.0
Quelimane,MZ,2020-04-19 20:58:21,-17.88,36.89,73.4,88,75,10.29,moderate rain,0.0,0.0
Gewane,ET,2020-04-19 20:58:21,10.17,40.65,79.45,53,40,3.6,scattered clouds,0.0,0.0
Bluff,NZ,2020-04-19 20:58:22,-46.6,168.33,46.0,81,85,4.0,light rain,0.13,0.0
Tuktoyaktuk,CA,2020-04-19 20:58:22,69.45,-133.04,8.6,84,90,11.41,light snow,0.0,0.0
Albany,US,2020-04-19 20:58:23,42.6,-73.97,63.0,28,81,9.28,broken clouds,0.0,0.0
Rabo De Peixe,PT,2020-04-19 20:58:24,37.8,-25.58,57.2,67,20,17.22,few clouds,0.0,0.0
Darhan,MN,2020-04-19 20:58:25,49.49,105.92,26.64,74,7,7.36,clear sky,0.0,0.0
Atuona,PF,2020-04-19 20:58:26,-9.8,-139.03,82.96,74,48,16.98,scattered clouds,0.0,0.0
Mataura,NZ,2020-04-19 20:58:26,-46.19,168.86,46.0,81,95,4.0,overcast clouds,0.0,0.0
Pevek,RU,2020-04-19 20:58:27,69.7,170.31,6.69,94,100,5.68,light snow,0.0,0.17
Hermanus,ZA,2020-04-19 20:56:25,-34.42,19.23,59.0,95,73,12.01,broken clouds,0.0,0.0
Sao Filipe,CV,2020-04-19 20:58:29,14.9,-24.5,72.19,75,0,19.3,clear sky,0.0,0.0
Aswan,EG,2020-04-19 20:58:29,24.09,32.91,74.32,25,0,10.96,clear sky,0.0,0.0
Port Alfred,ZA,2020-04-19 20:58:30,-33.59,26.89,79.66,45,26,12.66,scattered clouds,0.0,0.0
Roma,US,2020-04-19 20:57:05,43.21,-75.46,46.4,81,90,11.41,moderate rain,0.0,0.0
Rikitea,PF,2020-04-19 20:58:31,-23.12,-134.97,76.87,68,100,6.96,overcast clouds,0.0,0.0
Lata,PT,2020-04-19 20:58:32,40.16,-8.33,55.99,84,21,4.36,few clouds,0.0,0.0
Zhigansk,RU,2020-04-19 20:58:33,66.77,123.37,12.87,93,100,9.15,overcast clouds,0.0,0.0
Kapaa,US,2020-04-19 20:58:34,22.08,-159.32,78.8,65,75,9.17,broken clouds,0.0,0.0
Hope,US,2020-04-19 20:58:35,33.67,-93.59,75.34,68,70,1.03,light rain,2.94,0.0
Saint George,US,2020-04-19 20:58:35,37.1,-113.58,69.8,32,1,8.05,clear sky,0.0,0.0
Saint-Francois,FR,2020-04-19 20:54:47,46.42,3.91,59.0,87,100,2.19,overcast clouds,0.0,0.0
Tabou,CI,2020-04-19 20:58:37,4.42,-7.35,81.32,84,98,7.16,light rain,0.27,0.0
Ambagarh Chauki,IN,2020-04-19 20:58:38,20.78,80.72,80.31,41,23,5.32,few clouds,0.0,0.0
Khatanga,RU,2020-04-19 20:58:38,71.97,102.5,18.54,94,56,4.68,broken clouds,0.0,0.0
Rey Bouba,CM,2020-04-19 20:58:39,8.67,14.18,91.58,25,49,3.38,scattered clouds,0.0,0.0
Ziyang,CN,2020-04-19 20:58:40,29.25,117.85,54.36,85,13,2.77,few clouds,0.0,0.0
Bethel,US,2020-04-19 20:54:26,41.37,-73.41,61.0,47,1,20.8,clear sky,0.0,0.0
Sao Joao Da Barra,BR,2020-04-19 20:55:03,-21.64,-41.05,77.0,65,68,11.41,broken clouds,0.0,0.0
Hobart,AU,2020-04-19 20:55:41,-42.88,147.33,51.8,87,75,6.93,light intensity shower rain,0.0,0.0
Nome,US,2020-04-19 20:58:34,64.5,-165.41,39.0,93,90,1.99,overcast clouds,0.0,0.0
Chuy,UY,2020-04-19 20:58:44,-33.7,-53.46,67.73,78,4,8.21,clear sky,0.0,0.0
Karakulino,RU,2020-04-19 20:58:44,56.01,53.71,38.73,71,74,2.62,broken clouds,0.0,0.0
Sabzevar,IR,2020-04-19 20:58:31,36.21,57.68,62.46,37,0,0.2,clear sky,0.0,0.0
Bengkulu,ID,2020-04-19 20:58:46,-3.8,102.27,77.49,84,100,3.58,light rain,0.23,0.0
Moyo,UG,2020-04-19 20:58:46,3.66,31.72,65.93,74,100,0.22,overcast clouds,0.0,0.0
Dikson,RU,2020-04-19 20:54:53,73.51,80.55,34.93,89,95,29.04,overcast clouds,0.0,0.0
Nyuksenitsa,RU,2020-04-19 20:58:48,60.41,44.24,28.8,96,0,2.26,clear sky,0.0,0.0
Hithadhoo,MV,2020-04-19 20:58:49,-0.6,73.08,84.72,76,88,10.49,overcast clouds,0.0,0.0
Barrow,US,2020-04-19 20:58:50,71.29,-156.79,12.2,85,90,3.36,light snow,0.0,0.0
Busselton,AU,2020-04-19 20:58:50,-33.65,115.33,55.0,61,79,17.05,broken clouds,0.0,0.0
Sant Feliu De Guixols,ES,2020-04-19 20:58:51,41.78,3.03,60.01,50,100,10.27,light rain,0.18,0.0
